Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,DaySinceLastOrder,CashbackAmount,Churn
4,3,6,0,3,3,2,2,2,9,1,11,1,5,160,1
10.2,1,8,1,3,4,3,3,2,7,1,15,0,0,121,1
8.4,1,30,1,2,4,3,3,2,6,1,14,0,3,120,1
0,3,15,1,2,4,2,5,2,8,0,23,0,3,134,1
0,1,12,1,2,3,3,5,2,3,0,11,1,3,130,1
0,1,22,0,3,5,4,5,2,2,1,22,4,7,139,1
8.4,3,11,1,2,3,2,2,0,4,0,14,0,0,121,1
11.8,1,6,1,3,3,3,2,0,3,1,16,2,0,123,1
13,3,9,1,3,4,3,3,0,2,1,14,0,2,127,1
12,1,31,1,2,5,3,3,2,2,0,12,1,1,123,1
4,1,18,0,2,3,5,3,0,2,0,16,9,8,295,1
11,1,6,1,3,4,0,3,2,10,1,13,0,0,154,1
0,1,11,1,2,3,3,3,2,2,1,13,2,2,134,1
0,1,15,1,3,4,3,3,0,1,1,17,0,0,134,1
9,3,15,1,3,4,0,2,2,2,0,16,0,7,196,1
7.2,2,12,1,3,3,3,5,1,5,1,22,1,2,121,1
0,1,12,0,2.4,4,3,2,2,2,1,18,1,0,129,1
0,3,11,1,2,4,2,3,2,2,1,11,1,3,157,1
0,1,13,1,3,5,2,3,2,2,1,24,1,6,161,1
19,1,20,0,3,3,4,4,0,10,1,18,1,3,150,1
0,3,12,1,3,5,2,3,0,5,1,18,6,7,162,1
20,1,29,0,3,3,0,2,0,2,0,12,11,6,203,1
2.4,3,28,1,2,3,4,3,2,2,1,19,0,0,117,1
0,3,26,0,3,5,2,3,0,4,1,11,1,2,146,1
14,1,14,1,2,5,0,2,2,3,0,15,0,3,207,1
0,1,15,0,2,3,4,5,2,8,0,22,1,4,142,1
8,3,6,1,3,3,0,4,0,2,0,13,1,6,173,0
6,3,12,1,2,3,2,3,0,3,1,20,0,5,123,0
18,1,14.4,1,2,3,2,4,1,9,0,18,1,15,123,0
5,3,14,0,2,3,0,2,2,2,0,14,2,7,190,0
2,1,6,1,2,3,2,3,0,2,0,13,0,9,143,0
0,1,13,1,2,4,2,3,0,3,0,17,1,0,161,0
30,1,15,0,3,4,3,4,0,5,1,20,1,0,133,0
13,3,10,1,3,4,0,2,0,8,0,11,2,11,209,0
7,3,8,0,3,3,3,3,0,7,0,18,1,2,122,0
0,1,13,1,3,3,3,2,0,2,0,24,0,2,123,0
2.8,1,15,1,2,3,3,4,1,7,0,18,0,2,120,0
1,1,27,1,2.8,3,3,2,0,2,0,11,0,2,127,0
30,1,30,1,2,2,0,2,1,4,1,16,1,4,194,0
0,1,10.4,1,3,4,3,3,1,2,1,15,0,1,126,0
23,1,17,0,2,3,5,4,2,4,0,12.2,2,4,299,0
14,1,11.8,1,2,3,3,3,1,5,0,12,1,8,125,0
3,3,11,0,2,3,0,2,0,3,0,12,2,4,194,0
11,3,6,0,2,4,2,2,2,5,0,22,1,1,187,0
5,1,12,1,2.4,3,3,3,2,4,0,20,0,4,130,0
0,1,23,1,2.8,3,3,4,0,1,1,16,1,1,131,0
0,3,20.6,0,3,5,3,5,2,1,0,21,1,0,123,1
7.8,1,9,1,1,3,3,4,2,5,0,12,4,2,121,0
3,1,15,1,2,3,2,5,1,2,0,11,0,10,131,0
18,3,10,0,1,3,2,5,1,5,1,11,0,3,150,0
29,1,14,0,3,3,4,5,1,5,1,18,1,2,143,0
6,1,15.6,1,2,3,3,2,2,1,0,14,0,2,125,0
0,1,8,1,2,4,4,2,2,2,0,22,0,0,111,1
19,3,6,0,3,3,0,5,1,2,0,25,4,7,205,0
12,1,15,0,3,3,3,2,2,2,0,12,1,1,123,0
4,1,18,0,3,3,4,2,0,9,1,23,1,2,139,0
7.2,1,33,0,3,3,3,4,2,3,0,15,1,2,123,0
4,3,26,0,2,3,3,4,2,2,1,22,0,2,131,1
23,1,6,1,2,4,4,3,0,3,0,15,0,2,137,0
26,1,19,0,2,2,2,5,1,2,0,11,1,3,145,0
6,1,20,0,2.6,3,3,4,0,2,0,13,0,6,128,0
13,1,10,0,2,3,5,3,0,2,0,14,1,9,290,0
28,1,20,1,3,2,5,4,2,9,0,11,1.2,15,287,0
7,1,8,1,2,4,2,3,0,2,0,17,0,9,195,0
24,1,9,0,3,3,1,4,2,4,0,18,0,0,237,0
25,1,6,1,3,4,5,3,0,1,0,14.6,1,9,300,0
6.2,1,15,0,2,3,3,4,2,2,0,16,1,3,123,0
0,1,29,1,2,4,2,3,0,4,1,13,1,1,159,1
11.6,1,13,1,2,2,3,2,1,5,0,14,0,2,121,0
18,1,8,1,3,4,1,2,0,10,0,23,2.6,8,268,0
10,1,27,1,3,2,4,5,0,2,1,12,0,7,136,0
8,1,8,0,2,3,2,4,2,6,0,11,1,2,144,0
15,1,27,0,2,3,2,3,1,3,0,16,0,2,153,0
11,1,8,1,2,3,2,3,0,10,0,14,0,0,166,0
11,1,35,1,2,3,2,2,0,4,0,18,0,7,163,0
0,1,6,1,2,4,2,5,0,6,0,19,0,0,143,0
22,1,24,1,3,3,2,2,1,2,1,15,0,7,168,0
7,1,16,1,2,3,4,3,1,2,1,17,2,0,138,0
13,1,25,1,2.4,3,2,2,0,9,1,15,1,7,127,0
1,1,35,1,3,3,2,5,0,8,1,19,0,0,167,1
0,3,33,0,2,3,0,2,0,2,0,22,1,9,176,1
0,1,24.6,1,2,2,3,4,1,2,1,16,0,2,123,0
3.4,1,24,0,3,3,3,2,2,2,0,13,1,7,122,0
13,1,15,1,3,4,2,2,0,10,0,14,1,2,149,0
19,1,6,1,3,3,0,5,1,8,0,16,0,3,194,0
0,3,10,1,2,5,0,2,0,2,0,11,7,8,204,1
3,1,6,1,2,4,0,3,2,2,0,22,2,8,185,0
0,3,26,0,2,3,2,3,2,2,0,14,1,7,200,0
24,1,14,1,2,4,0,4,0,6,0,16,1,4.4,225,0
0,1,15.2,0,2,3,3,5,2,6,1,11,1,4,127,1
14,3,12,0,3,3,0,2,2,4,1,18,0,0,236,0
0,3,32,0,2,4,2,5,2,6,0,15,0,1,167,1
7.8,1,6,1,2,3,3,3,2,1,0,14,0,5,121,1
18,3,12,0,2,4,0,2,2,7,0,12,12,8,189,0
27,3,9,0,2,3,2,5,0,3,0,14,1,5,159,0
9,1,11,1,3,3,2,4,2,9,0,16,0,7,159,0
6,1,24,0,2,4,3,4,0,7,0,21,0,1,126,0
10,1,17,1,2,3,0,2,1,2,1,14,0,9.2,222,0
11,3,9,1,3,3,0,3,1,1,0,12,1,13,206,0
4,1,6,1,2,5,2,3,0,1,0,12,1,4,143,0
10,1,9,1,3,4,3,2,0,4,0,17,0,0,122,0
10,3,10,1,2,3,4,2,1,5,0,17,1,8,0,0
2,3,6,0,2,3,0,2,0,2,0,14,4,1,179,0
8,3,6,0,3,3,0,3,2,2,0,14,1,8,188,0
0,1,20,1,2,4,3,2,2,2,1,13,0,1,124,1
25,1,8,0,2,4,3,2,2,8,0,15,0,2,132,0
15,1,10,1,2,3,5,2,0,2,0,13.4,0,15,292,0
6.8,2,12,1,2,3,3,3,0,9,0,17,2,2,123,0
23,3,6,0,3,3,5,2,1,4,0,13.6,1,6,295,0
0,1,6,1,2,3,3,2,0,6,1,13,0,4,124,1
16,3,22,0,3,3,1,2,0,6,1,22,0,9,261,0
0,1,8,0,3,3,3,5,0,8,0,20,1,7,127,1
25,3,8,1,3,4,5,3,2,2,1,18,5.2,12,291,0
5,3,10,0,2,3,4,4,0,3,0,11,1,2,139,0
0,1,6,1,3,4,4,3,2,1,1,14,1,2,137,1
7.6,1,6,0,3,3,3,3,1,8,0,14,0,2,122,0
5,3,32,1,3,3,2,2,0,1,0,18,1,2,145,0
14,1,25,1,2.4,3,2,5,1,3,0,16,1,0,131,0
13,1,30,1,3,3,2,2,1,2,0,17,2,7,133,0
18,1,6,1,3,2,5,2,0,1,0,13.2,1,7,292,0
4,1,9,1,3,3,0,3,1,10,0,12,1,2,237,0
6,1,11,0,2.6,4,3,2,0,2,0,13,0,2,129,0
7,1,8,1,2,4,2,5,0,7,0,13,0,9,160,0
10,1,6,0,2,4,4,5,0,3,0,14,1,2,139,0
18,1,13,1,3,2,2,3,0,5,0,17,0,2,164,0
0,1,16,1,3,3,0,3,1,7,0,11,1,0,200,1
12,1,8,0,3,3,0,3,2,1,0,25,10,5.8,209,0
2,1,12.8,1,2,3,3,2,2,2,0,19,0,5,123,0
15,1,23,0,2,2,2,5,2,4,1,13,0,2,165,0
2,3,26,1,2,3,2,2,1,3,0,14,1,2,169,0
0,1,6,0,3,3,2,3,0,1,0,12,1,2,149,0
15,1,12,0,2,4,3,5,1,1,1,11,4,8,126,0
13,1,8,1,2,3,5,3,1,1,0,13.2,0,9,294,0
24,1,6,1,2.6,3,3,2,0,2,0,11,1,0,127,0
0,1,35,1,3,4,3,4,2,1,0,11,1,4,135,1
5,1,13,1,2.6,2,3,4,0,2,0,20,0,3,128,0
11,3,8,1,2,4,2,2,0,4,0,18,6,5,152,0
6.6,1,8,1,2,4,2,5,2,5,0,13,0,4,122,0
19,3,8,0,3,5,1,4,0,4,1,12,2.6,7,269,0
0,1,8,1,3,3,3,3,2,3,0,11,1,0,135,1
2,3,8,1,3,4,2,4,0,3,0,19,0,0,166,0
4,1,29,1,3,4,2,2,0,1,0,21,1,8,156,0
0,1,11,1,2,2,2,5,1,2,0,12,1,5,140,0
18,1,26,1,3,3,1,2,0,1,1,14,0,10,235,0
9,1,12,1,2,3,3,2,0,1,0,11,4,11,132,0
28,1,6,1,2,3,5,5,2,1,1,14,4.6,13,290,0
10,1,35,1,2,3,0,4,0,2,1,12,5,5.6,218,1
7,1,15,1,3,3,3,2,0,2,0,23,1,4,121,0
10,3,12,1,3,3,2,2,0,5,0,14,0,1,165,0
0,1,9,1,3,4,3,3,2,2,0,17,1,0,132,0
10,1,6,0,0,3,0,2,1,3,1,18,0,2,236,0
2,1,28,0,3,2,0,4,1,8,0,18,5,6.8,220,0
11,3,13,0,2,2,2,5,1,2,1,24,0,7,156,0
0,1,6,0,2,3,2,4,1,2,0,20,0,4,164,0
23,1,10,1,3,3,5,4,1,4,0,14,2.8,6,291,0
26,1,9,1,2,3,1,3,0,4,1,16,2.6,3,276,0
15,3,6,1,2,3,2,3,0,2,0,25,4,6,149,0
2,3,8,1,2,3,2,2,2,2,0,18,0,9,146,0
28,1,26,1,2,3,2,2,0,4,1,19,1,8,154,0
0,1,17,1,2,3,2,5,0,2,1,13,2,3,147,0
2.6,1,6,0,2,3,3,2,2,2,0,12,1,7,121,0
7,1,30,1,2.6,3,3,3,1,4,1,22,0,0,132,1
11,1,29,1,2,3,2,2,1,10,0,14,0,2,157,0
0,1,26.2,1,2,3,3,4,1,3,1,13,1,2,124,1
1,1,14,0,3,3,3,2,2,2,0,21,0,2,133,0
22,1,16,0,2,3,5,5,2,10,1,11,1,2,287,0
9,1,9,1,1,3,2,4,2,5,0,12,6,7,145,0
4,3,11,0,2.8,3,3,4,1,2,0,11,0,2,128,0
0,3,10,1,2,4,2,2,2,2,1,12,7,4,158,1
10,1,10,1,2,3,3,2,0,2,1,12,0,2,123,0
15,3,32,0,3,3,1,4,0,6,0,14,2,8,235,0
1.6,1,9,1,2,3,4,3,2,2,0,13,0,0,114,1
8,3,22,1,3,3,0,4,0,1,0,15,3,9,180,0
9,1,24,1,2,2,4,2,0,5,0,18,0,0,137,0
24,1,8,1,2,5,2,4,1,6,0,18,0,2,155,0
14,3,8,1,2,3,1,4,2,2,0,19,1,4,260,0
0,3,16,0,3,4,4,3,2,2,0,12,1,0,112,0
1,1,22,1,3,2,2,5,2,1,0,19,0,7,157,0
4,3,13,1,3,2,2,2,0,5,0,11,3,7,169,0
12,1,6,1,2,2,0,2,1,1,0,17,3,7,196,0
9,1,30,0,2,3,2,4,0,8,0,15,0,8,157,0
