Tenure,CityTier,WarehouseToHome,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,DaySinceLastOrder,CashbackAmount,Churn
11.0,1.0,8.0,0.0,3.0,1.0,2.0,5.0,2.0,7.0,1.0,12.0,4.0,12.0,160.0,0
15.0,1.0,23.0,0.0,2.0,1.0,2.0,5.0,2.0,4.0,1.0,13.0,1.0,2.0,165.0,0
8.0,3.0,24.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,16.0,1.0,0.0,146.0,0
1.0,3.0,20.0,1.0,4.0,5.0,2.0,5.0,1.0,7.0,1.0,14.0,3.0,3.0,185.0,1
21.0,1.0,6.0,0.0,2.0,4.0,1.0,5.0,1.0,8.0,0.0,11.0,0.0,2.0,254.0,0
1.0,1.0,18.0,0.0,4.0,5.0,4.0,5.0,2.0,3.0,1.0,16.0,1.0,1.0,151.0,1
1.0,3.0,7.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,0.0,16.0,2.0,4.0,155.0,1
10.0,3.0,16.0,1.0,4.0,5.0,0.0,2.0,2.0,3.0,0.0,17.0,1.0,10.0,221.0,1
20.0,3.0,10.0,0.0,3.0,2.0,1.0,5.0,1.0,4.0,0.0,13.0,3.0,9.0,257.0,0
1.0,1.0,8.0,1.0,3.0,4.0,3.0,2.0,1.0,9.0,1.0,14.0,3.0,4.0,173.0,1
3.0,1.0,8.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,19.0,3.0,8.0,142.0,0
1.0,1.0,29.0,0.0,3.0,4.0,4.0,3.0,1.0,6.0,1.0,12.0,1.0,2.0,146.0,1
5.0,1.0,19.0,0.0,3.0,4.0,5.0,3.0,1.0,3.0,0.0,19.0,6.0,9.0,320.0,1
9.0,3.0,15.0,1.0,2.0,3.0,0.0,1.0,1.0,5.0,0.0,11.0,4.0,3.0,201.0,1
0.0,3.0,15.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,13.0,0.0,0.0,111.0,1
13.0,1.0,15.0,0.0,3.0,4.0,4.0,3.0,0.0,3.0,0.0,12.0,1.0,8.0,163.0,0
1.0,1.0,11.0,0.0,4.0,4.0,4.0,3.0,2.0,3.0,0.0,20.0,1.0,1.0,148.0,0
3.0,2.0,16.0,1.0,2.0,4.0,3.0,4.0,1.0,7.0,1.0,15.0,2.0,0.0,123.0,1
23.0,1.0,16.0,1.0,3.0,4.0,0.0,1.0,2.0,7.0,0.0,15.0,1.0,3.0,205.0,0
2.0,3.0,16.0,1.0,2.0,4.0,2.0,3.0,2.0,10.0,0.0,11.0,1.0,4.0,159.0,0
15.0,3.0,6.0,0.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,11.0,1.0,2.0,123.0,1
5.0,1.0,10.0,1.0,3.0,4.0,4.0,5.0,1.0,3.0,1.0,14.0,3.0,4.0,156.0,0
20.0,3.0,7.0,0.0,4.0,4.0,0.0,5.0,1.0,3.0,0.0,26.0,5.0,8.0,230.0,0
25.0,3.0,33.0,0.0,4.0,4.0,1.0,3.0,0.0,4.0,0.0,15.0,3.0,18.0,288.0,0
1.0,1.0,7.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,1.0,14.0,6.0,9.0,152.0,1
0.0,1.0,6.0,1.0,2.0,4.0,2.0,3.0,2.0,2.0,0.0,12.0,1.0,2.0,146.0,0
1.0,1.0,14.0,1.0,4.0,5.0,4.0,3.0,2.0,3.0,1.0,12.0,2.0,3.0,164.0,1
0.0,3.0,25.0,1.0,3.0,1.0,2.0,1.0,2.0,9.0,1.0,13.0,0.0,4.0,153.0,1
1.0,1.0,12.0,1.0,3.0,2.0,2.0,5.0,1.0,3.0,0.0,13.0,2.0,6.0,165.0,0
11.0,1.0,21.0,1.0,3.0,4.0,0.0,2.0,1.0,1.0,1.0,14.0,1.0,8.0,215.0,0
15.0,1.0,8.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,1.0,13.0,1.0,10.0,279.0,0
5.0,3.0,11.0,1.0,3.0,4.0,2.0,4.0,2.0,3.0,0.0,19.0,6.0,8.0,219.0,1
0.0,1.0,21.0,0.0,3.0,4.0,4.0,5.0,1.0,1.0,0.0,19.0,7.0,3.0,148.0,0
7.0,1.0,8.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,0.0,11.0,1.0,11.0,167.0,0
0.0,1.0,13.0,0.0,2.0,4.0,3.0,3.0,2.0,2.0,0.0,20.0,1.0,2.0,126.0,1
5.0,1.0,20.0,1.0,2.0,3.0,3.0,5.0,0.0,2.0,1.0,14.0,2.0,8.0,122.0,0
0.0,1.0,12.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,0.0,11.0,0.0,3.0,130.0,1
5.0,1.0,33.0,1.0,3.0,4.0,4.0,3.0,1.0,3.0,0.0,18.0,4.0,4.0,154.0,0
1.0,1.0,12.0,1.0,3.0,4.0,4.0,2.0,0.0,4.0,1.0,15.0,6.0,7.0,160.0,1
16.0,2.0,17.0,1.0,3.0,4.0,0.0,2.0,2.0,5.0,0.0,16.0,2.0,6.0,234.0,1
1.0,1.0,32.0,1.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,25.0,1.0,2.0,153.0,1
6.0,3.0,17.0,1.0,3.0,4.0,2.0,1.0,2.0,3.0,0.0,13.0,2.0,9.0,179.0,0
16.0,3.0,32.0,1.0,4.0,4.0,0.0,5.0,2.0,8.0,1.0,14.0,3.0,2.0,230.0,1
12.0,1.0,6.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,0.0,11.0,0.0,3.0,120.0,0
1.0,3.0,31.0,1.0,4.0,6.0,4.0,1.0,2.0,3.0,1.0,15.0,2.0,1.0,136.0,1
0.0,1.0,8.0,1.0,2.0,5.0,3.0,1.0,1.0,6.0,1.0,13.0,1.0,2.0,135.0,1
2.0,3.0,12.0,0.0,3.0,4.0,2.0,4.0,1.0,7.0,1.0,19.0,2.0,2.0,177.0,1
1.0,2.0,13.0,1.0,4.0,4.0,4.0,5.0,1.0,6.0,1.0,23.0,1.0,3.0,146.0,1
9.0,1.0,18.0,1.0,3.0,4.0,4.0,3.0,1.0,9.0,1.0,12.0,1.0,3.0,152.0,0
13.0,1.0,25.0,1.0,2.0,3.0,2.0,1.0,1.0,9.0,1.0,15.0,3.0,7.0,127.0,0
5.0,1.0,16.0,1.0,3.0,3.0,0.0,1.0,2.0,3.0,0.0,25.0,0.0,7.0,212.0,0
1.0,1.0,24.0,0.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,14.0,4.0,7.0,149.0,1
17.0,3.0,10.0,1.0,3.0,3.0,1.0,3.0,2.0,8.0,1.0,18.0,4.0,6.0,181.0,1
17.0,1.0,13.0,0.0,3.0,5.0,5.0,3.0,1.0,9.0,0.0,21.0,7.0,15.0,319.0,0
61.0,3.0,28.0,0.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,14.0,1.0,1.0,304.0,0
0.0,1.0,14.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,0.0,20.0,1.0,0.0,124.0,1
1.0,3.0,19.0,1.0,4.0,5.0,4.0,5.0,0.0,3.0,0.0,19.0,2.0,1.0,145.0,1
19.0,3.0,9.0,1.0,3.0,4.0,2.0,1.0,2.0,6.0,0.0,17.0,2.0,4.0,177.0,1
1.0,3.0,26.0,1.0,3.0,5.0,4.0,4.0,0.0,3.0,1.0,19.0,1.0,1.0,149.0,1
0.0,1.0,15.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,12.0,1.0,2.0,140.0,1
1.0,3.0,10.0,0.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,21.0,2.0,5.0,171.0,0
3.0,2.0,19.0,1.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,12.0,2.0,11.0,237.0,1
2.0,1.0,6.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,0.0,11.0,0.0,2.0,121.0,0
18.0,1.0,8.0,1.0,3.0,4.0,1.0,2.0,0.0,10.0,0.0,23.0,3.0,8.0,268.0,0
1.0,3.0,25.0,1.0,3.0,1.0,2.0,1.0,2.0,9.0,1.0,13.0,0.0,4.0,153.0,1
8.0,1.0,13.0,1.0,2.0,3.0,0.0,3.0,2.0,4.0,0.0,21.0,0.0,6.0,202.0,0
11.0,1.0,15.0,1.0,3.0,3.0,4.0,1.0,1.0,3.0,0.0,19.0,1.0,3.0,148.0,0
1.0,1.0,23.0,0.0,4.0,6.0,4.0,5.0,2.0,3.0,1.0,23.0,2.0,8.0,164.0,1
15.0,3.0,9.0,0.0,4.0,4.0,1.0,5.0,1.0,9.0,0.0,17.0,6.0,9.0,291.0,0
0.0,3.0,7.0,1.0,3.0,4.0,2.0,5.0,1.0,2.0,0.0,11.0,2.0,7.0,197.0,1
18.0,1.0,35.0,1.0,2.0,3.0,0.0,1.0,0.0,5.0,1.0,18.0,1.0,2.0,194.0,0
12.0,1.0,34.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,0.0,20.0,0.0,3.0,143.0,1
22.0,1.0,7.0,1.0,4.0,5.0,5.0,2.0,2.0,8.0,0.0,14.0,2.0,1.0,308.0,0
16.0,3.0,33.0,0.0,4.0,4.0,1.0,4.0,0.0,7.0,0.0,15.0,3.0,9.0,260.0,0
0.0,3.0,18.0,0.0,2.0,2.0,3.0,4.0,2.0,2.0,0.0,15.0,0.0,0.0,127.0,1
0.0,3.0,10.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,12.0,7.0,4.0,158.0,1
8.0,3.0,32.0,0.0,3.0,3.0,2.0,5.0,0.0,3.0,0.0,14.0,0.0,0.0,143.0,1
10.0,3.0,16.0,1.0,4.0,5.0,0.0,1.0,2.0,4.0,0.0,15.0,3.0,10.0,223.0,1
0.0,1.0,8.0,1.0,3.0,4.0,3.0,5.0,2.0,7.0,0.0,13.0,0.0,7.0,124.0,1
7.0,1.0,11.0,0.0,3.0,5.0,4.0,4.0,1.0,8.0,0.0,22.0,1.0,2.0,151.0,0
